date,成交量,成交额,均价,涨跌幅,source,source_name
2024-01-22,375315,23835280.00,63.51,0,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-07,748800,60241797.62,80.45,26.67,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-10,148136,15903820.12,107.36,33.45,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-11,100,10600.00,106.00,-1.27,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-12,8518,819485.80,96.21,-9.24,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-13,5460,397542.60,72.81,-24.32,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-14,26836,2485834.56,92.63,27.22,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-17,14260,1449280.20,101.63,9.72,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-18,2014,213444.52,105.98,4.28,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-19,600,55200.00,92.00,-13.19,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-20,2130,218408.40,102.54,11.46,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-21,500,42749.00,85.50,-16.62,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-24,300,27120.00,90.40,5.73,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-25,100,9550.00,95.50,5.64,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-26,101,9558.00,94.63,-0.91,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-27,2210,226414.90,102.45,8.26,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-28,45100,4271265.00,94.71,-7.55,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-03-31,10000,936700.00,93.67,-1.10,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-01,9,900.90,100.10,6.86,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-02,40,3920.00,98.00,-2.10,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-03,100,9300.00,93.00,-5.10,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-07,2,187.34,93.67,0.72,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-08,60100,6039367.00,100.49,7.28,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-09,202,19155.12,94.83,-5.63,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-10,20272,1915712.10,94.50,-0.35,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-11,100,9390.00,93.90,-0.63,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-14,65303,6543442.29,100.20,6.71,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-15,100,9387.00,93.87,-6.32,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-16,100,9380.00,93.80,-0.07,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-17,100,9360.00,93.60,-0.21,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
2025-04-18,1,101.22,101.22,8.14,https://www.ccn.ac.cn/carbon-market/ccer/ccerdate/219.html,北京绿色交易所
